stage,stage_name,rank_within_stage,feature_1,feature_1_low,feature_1_high,feature_2,feature_2_low,feature_2_high,coverage,precision,lift,distinctiveness_index
1,N1,66,MSE,0.34631413221359253,0.8674126267433167,Theta,0.10223731398582458,0.39980393648147583,0.37537862397230637,0.13869182038010353,1.2495916966565996,0.09369138764586767
2,N2,1,Index_N_noEOG,0.4745564222335815,0.7556130528450012,EOG,0.05000000074505806,0.13969755470752718,0.5002019001470442,0.7582929082929083,1.9247085080822885,0.46254095282489915
2,N2,2,EOG,0.05000000074505806,0.13969755470752718,Aperiodic,0.5462306380271912,0.8667325139045715,0.49555438732828966,0.709124210939459,1.799907907822749,0.39639787318015635
2,N2,3,EOG,0.05000000074505806,0.13969755470752718,MSE,0.20461138188838962,0.6156458735466004,0.4933372951475395,0.6811053024645257,1.728789965218897,0.35953927017176
2,N2,4,EOG,0.05000000074505806,0.13969755470752718,Delta,0.0706953525543213,0.23719180822372438,0.5107311832872391,0.6630039166040274,1.6828448020863362,0.3487501337710951
2,N2,5,Index_N_noEOG,0.4745564222335815,0.7556130528450012,Delta,0.0706953525543213,0.23719180822372438,0.4163104843317867,0.7239940111033085,1.8376506198748435,0.3487227352609174
2,N2,6,Index_N_noEOG,0.4745564222335815,0.7556130528450012,Index_N,0.07764406502246857,0.439630401134491,0.3630545587529428,0.7308588957055214,1.8550751555079508,0.310438933283543
2,N2,7,Index_N_noEOG,0.4745564222335815,0.7556130528450012,Index_2,0.2684119284152985,0.56002756357193,0.4150914645760478,0.6852392212104442,1.7392827292879984,0.3068699508359331
2,N2,8,EOG,0.05000000074505806,0.13969755470752718,Theta,0.2050985038280487,0.5477810025215148,0.48257944580314355,0.6441050255242124,1.6348754012692714,0.3063778192985734
2,N2,9,EOG,0.05000000074505806,0.13969755470752718,DFA,0.11134338974952698,0.4827953517436983,0.4936344312130008,0.6368041358704198,1.6163441921816657,0.30424871473903303
2,N2,10,EOG,0.05000000074505806,0.13969755470752718,Index_1,0.24557647109031677,0.6241564869880676,0.48272420439913755,0.6409221493890103,1.6267965854045854,0.30256988300952453
