epoch,consensus_stage,consensus_stage_name,n_subjects_contributing
890,2,N2,100
891,2,N2,100
892,2,N2,100
893,2,N2,100
894,2,N2,100
895,2,N2,100
896,2,N2,100
897,2,N2,100
898,2,N2,100
899,2,N2,100
900,2,N2,100
901,2,N2,100
902,2,N2,100
903,2,N2,100
904,2,N2,100
905,2,N2,100
906,2,N2,100
907,2,N2,100
908,2,N2,100
909,2,N2,100
910,2,N2,100
911,2,N2,100
912,2,N2,100
913,2,N2,100
914,2,N2,100
915,2,N2,100
916,2,N2,100
917,2,N2,100
918,2,N2,100
919,2,N2,100
920,2,N2,100
921,2,N2,100
922,2,N2,100
923,2,N2,100
924,2,N2,100
925,2,N2,100
926,2,N2,100
927,2,N2,100
928,2,N2,100
929,2,N2,100
930,2,N2,100
931,2,N2,100
932,2,N2,100
933,2,N2,100
934,2,N2,100
935,2,N2,100
936,2,N2,100
937,2,N2,100
938,2,N2,100
939,2,N2,100
940,2,N2,100
941,2,N2,100
942,2,N2,100
943,2,N2,100
944,2,N2,100
945,2,N2,100
946,2,N2,100
947,2,N2,100
948,2,N2,100
949,2,N2,100
950,2,N2,100
951,2,N2,100
952,2,N2,100
953,2,N2,100
954,2,N2,100
955,2,N2,100
956,2,N2,100
957,2,N2,100
958,2,N2,100
959,2,N2,100
960,2,N2,100
961,2,N2,100
962,2,N2,100
963,2,N2,100
964,2,N2,100
965,2,N2,100
966,2,N2,100
967,2,N2,100
968,2,N2,100
969,2,N2,100
970,2,N2,100
971,2,N2,100
972,2,N2,100
973,2,N2,100
974,2,N2,100
975,2,N2,100
976,2,N2,100
977,2,N2,100
978,2,N2,100
979,2,N2,100
980,2,N2,100
981,2,N2,100
982,2,N2,100
983,2,N2,100
984,2,N2,100
985,2,N2,100
986,2,N2,100
987,2,N2,100
988,2,N2,100
989,2,N2,100
990,2,N2,100
991,2,N2,100
992,2,N2,100
993,2,N2,100
994,2,N2,100
995,2,N2,100
996,2,N2,100
997,2,N2,100
998,2,N2,100
999,2,N2,100
1000,2,N2,100
1001,2,N2,100
1002,2,N2,100
1003,2,N2,100
1004,2,N2,100
1005,2,N2,100
1006,2,N2,100
1007,2,N2,100
1008,2,N2,100
1009,2,N2,100
1010,2,N2,100
1011,2,N2,100
1012,2,N2,100
1013,2,N2,100
1014,2,N2,100
1015,2,N2,100
1016,2,N2,100
1017,2,N2,100
1018,2,N2,100
1019,2,N2,100
1020,2,N2,100
1021,2,N2,100
1022,2,N2,100
1023,2,N2,100
1024,2,N2,100
1025,2,N2,100
1026,2,N2,100
1027,2,N2,100
1028,2,N2,100
1029,2,N2,100
1030,2,N2,100
1031,2,N2,100
1032,2,N2,100
1033,2,N2,100
1034,2,N2,100
1035,2,N2,100
1036,2,N2,100
1037,2,N2,100
1038,2,N2,100
1039,2,N2,100
1040,2,N2,100
1041,2,N2,100
1042,2,N2,100
1043,2,N2,100
1044,2,N2,100
1045,2,N2,100
1046,2,N2,100
1047,2,N2,100
1048,2,N2,100
1049,2,N2,100
1050,2,N2,100
1051,2,N2,100
1052,2,N2,100
1053,2,N2,100
1054,2,N2,100
1055,2,N2,100
1056,2,N2,100
1057,2,N2,100
1058,2,N2,100
1059,2,N2,100
1060,2,N2,100
1061,2,N2,100
1062,2,N2,100
1063,2,N2,100
1064,2,N2,100
1065,2,N2,100
1066,2,N2,100
1067,2,N2,100
1068,2,N2,100
1069,2,N2,100
1070,2,N2,100
1071,2,N2,100
1072,2,N2,100
1073,2,N2,100
1074,2,N2,100
1075,2,N2,100
1076,2,N2,100
1077,2,N2,100
1078,2,N2,100
1079,2,N2,100
1080,2,N2,100
1081,2,N2,100
1082,2,N2,100
1083,2,N2,100
1084,2,N2,100
1085,2,N2,100
1086,2,N2,100
1087,2,N2,100
1088,2,N2,100
1089,2,N2,100
1090,2,N2,100
1091,2,N2,100
1092,2,N2,100
1093,2,N2,100
1094,2,N2,100
1095,2,N2,100
1096,2,N2,100
1097,2,N2,100
1098,2,N2,100
1099,2,N2,100
1100,2,N2,100
1101,2,N2,100
1102,2,N2,100
1103,2,N2,100
1104,2,N2,100
1105,2,N2,100
1106,2,N2,100
1107,2,N2,100
1108,2,N2,100
1109,2,N2,100
1110,2,N2,100
1111,2,N2,100
1112,2,N2,100
1113,2,N2,100
1114,2,N2,100
1115,2,N2,100
1116,2,N2,100
1117,2,N2,100
1118,2,N2,100
1119,2,N2,100
1120,2,N2,100
1121,2,N2,100
1122,2,N2,100
1123,2,N2,100
1124,2,N2,100
1125,2,N2,100
1126,2,N2,100
1127,2,N2,100
1128,2,N2,100
1129,2,N2,100
1130,2,N2,100
1131,2,N2,100
1132,2,N2,100
1133,2,N2,100
1134,2,N2,100
1135,2,N2,100
1136,2,N2,100
1137,2,N2,100
1138,2,N2,100
1139,2,N2,100
1140,2,N2,100
1141,2,N2,100
1142,2,N2,100
1143,2,N2,100
1144,2,N2,100
1145,2,N2,100
1146,2,N2,100
1147,2,N2,100
1148,2,N2,100
1149,2,N2,100
1150,2,N2,100
1151,2,N2,100
1152,2,N2,100
1153,2,N2,100
1154,2,N2,100
1155,2,N2,100
1156,2,N2,100
1157,2,N2,100
1158,2,N2,100
1159,2,N2,100
1160,2,N2,100
1161,2,N2,100
1162,2,N2,100
1163,2,N2,100
1164,2,N2,100
1165,2,N2,100
1166,2,N2,100
1167,2,N2,100
1168,2,N2,100
1169,2,N2,100
1170,2,N2,100
1171,2,N2,100
1172,2,N2,100
1173,2,N2,100
1174,2,N2,100
1175,2,N2,100
1176,2,N2,100
1177,2,N2,100
1178,2,N2,100
1179,2,N2,100
1180,2,N2,100
1181,2,N2,100
1182,2,N2,100
1183,2,N2,100
1184,2,N2,100
1185,2,N2,100
1186,2,N2,100
1187,2,N2,100
1188,2,N2,100
1189,2,N2,100
1190,2,N2,100
1191,2,N2,100
1192,2,N2,100
1193,2,N2,100
1194,2,N2,100
1195,2,N2,100
1196,2,N2,100
1197,2,N2,100
1198,2,N2,100
1199,2,N2,100
1200,2,N2,100
1201,2,N2,100
1202,2,N2,100
1203,2,N2,100
1204,2,N2,100
1205,2,N2,100
1206,2,N2,100
1207,2,N2,100
1208,2,N2,100
1209,2,N2,100
1210,2,N2,100
1211,2,N2,100
1212,2,N2,100
1213,2,N2,100
1214,2,N2,100
1215,2,N2,100
1216,2,N2,100
1217,2,N2,100
1218,2,N2,100
1219,2,N2,100
1220,2,N2,100
1221,2,N2,100
1222,2,N2,100
1223,2,N2,100
1224,2,N2,100
1225,2,N2,100
1226,2,N2,100
1227,2,N2,100
1228,2,N2,100
1229,2,N2,100
1230,2,N2,100
1231,2,N2,100
1232,2,N2,100
1233,2,N2,100
1234,2,N2,100
1235,2,N2,100
1236,2,N2,100
1237,2,N2,100
1238,2,N2,100
1239,2,N2,100
1240,2,N2,100
1241,2,N2,100
1242,2,N2,100
1243,2,N2,100
1244,2,N2,100
1245,2,N2,100
1246,2,N2,100
1247,2,N2,100
1248,2,N2,100
1249,2,N2,100
1250,2,N2,100
1251,2,N2,100
1252,2,N2,100
1253,2,N2,100
1254,2,N2,100
1255,2,N2,100
1256,2,N2,100
1257,2,N2,100
1258,2,N2,100
1259,2,N2,100
1260,2,N2,100
1261,2,N2,100
1262,2,N2,100
1263,2,N2,100
1264,2,N2,100
1265,2,N2,100
1266,2,N2,100
1267,2,N2,100
1268,2,N2,100
1269,2,N2,100
